,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
15253,23,59880,RENT,0.0,MEDICAL,B,15000,,0,0.25,N,4
626,24,52000,RENT,8.0,EDUCATION,D,20000,15.65,1,0.38,Y,2
31280,36,73000,MORTGAGE,3.0,DEBTCONSOLIDATION,D,8000,17.49,1,0.11,N,17
2953,23,29000,OWN,,MEDICAL,F,10000,18.62,1,0.34,Y,3
31508,38,100000,RENT,0.0,DEBTCONSOLIDATION,C,14000,13.23,0,0.14,Y,14
14490,25,108000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,24250,10.75,0,0.22,N,2
11466,26,69000,MORTGAGE,0.0,PERSONAL,B,14400,10.65,1,0.21,N,3
8773,25,60000,MORTGAGE,2.0,PERSONAL,B,6900,9.99,0,0.12,N,3
12411,22,74500,MORTGAGE,6.0,DEBTCONSOLIDATION,D,7500,13.17,1,0.1,N,2
20693,28,33600,RENT,12.0,VENTURE,A,5000,5.42,0,0.15,N,8
10543,21,33000,RENT,5.0,DEBTCONSOLIDATION,D,10000,,1,0.3,N,4
23955,31,30000,RENT,1.0,PERSONAL,C,10000,13.48,1,0.33,N,8
9064,22,60000,RENT,2.0,EDUCATION,B,8000,10.0,0,0.13,N,4
19866,30,36000,MORTGAGE,7.0,MEDICAL,B,15000,11.83,0,0.42,N,5
12761,24,71151,RENT,6.0,VENTURE,A,12000,6.62,0,0.17,N,4
9197,21,19968,RENT,4.0,MEDICAL,C,5000,,1,0.25,N,3
28510,29,97000,RENT,4.0,VENTURE,B,25000,10.37,0,0.26,N,10
9685,23,63200,OTHER,0.0,DEBTCONSOLIDATION,B,4800,12.53,0,0.08,N,4
2219,24,30996,OWN,,EDUCATION,A,8000,7.51,0,0.26,N,3
18419,32,83000,RENT,6.0,PERSONAL,E,20000,14.38,0,0.24,N,10
15265,22,127500,MORTGAGE,2.0,MEDICAL,A,15000,7.49,0,0.12,N,4
16322,23,50000,RENT,4.0,VENTURE,B,18225,10.74,1,0.36,N,3
16733,23,47000,MORTGAGE,7.0,EDUCATION,C,13850,12.68,0,0.29,Y,2
13021,21,85000,RENT,1.0,VENTURE,C,12000,11.97,0,0.14,N,2
1137,26,25000,OWN,0.0,VENTURE,C,7400,,0,0.3,N,2
31260,48,29120,RENT,0.0,DEBTCONSOLIDATION,D,3000,12.49,1,0.1,Y,14
1993,26,57600,RENT,10.0,DEBTCONSOLIDATION,D,2150,15.62,1,0.04,Y,3
12477,21,45176,RENT,1.0,MEDICAL,B,12000,11.49,0,0.27,N,3
22294,31,54000,MORTGAGE,12.0,DEBTCONSOLIDATION,A,6000,7.14,0,0.11,N,5
869,25,58000,RENT,9.0,MEDICAL,B,19900,11.83,1,0.34,N,4
28523,29,50000,RENT,6.0,EDUCATION,A,3000,7.29,0,0.06,N,10
8686,23,60000,OWN,5.0,EDUCATION,C,16000,14.27,0,0.27,Y,4
25796,27,58800,RENT,6.0,HOMEIMPROVEMENT,B,2800,12.69,1,0.05,N,10
21924,35,88020,RENT,6.0,PERSONAL,D,6000,15.37,0,0.07,Y,8
22975,28,32376,RENT,2.0,DEBTCONSOLIDATION,F,8000,,1,0.25,Y,7
18006,28,61000,RENT,9.0,PERSONAL,B,25000,9.91,1,0.41,N,7
18771,29,38000,RENT,5.0,EDUCATION,A,1000,7.88,0,0.03,N,9
21153,28,72000,RENT,8.0,PERSONAL,B,5000,10.59,0,0.07,N,9
16156,23,72000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,12000,13.61,1,0.17,N,4
24026,28,69000,OWN,11.0,HOMEIMPROVEMENT,B,6000,11.86,0,0.09,N,9
19865,27,49000,RENT,0.0,MEDICAL,B,11000,,0,0.22,N,10
27967,29,34000,RENT,13.0,VENTURE,C,2000,14.72,0,0.06,N,5
27557,29,62050,RENT,3.0,MEDICAL,E,15000,15.95,1,0.21,Y,8
25323,28,24000,RENT,4.0,VENTURE,A,3000,9.32,0,0.13,N,6
188,24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2
23063,30,48000,RENT,7.0,VENTURE,C,8000,13.23,0,0.17,Y,5
4594,22,41600,MORTGAGE,2.0,EDUCATION,D,3000,15.05,0,0.07,N,3
2828,25,50160,RENT,0.0,DEBTCONSOLIDATION,D,3000,14.42,1,0.06,N,2
13698,24,70000,RENT,0.0,HOMEIMPROVEMENT,A,13000,7.9,0,0.19,N,3
13212,25,90000,MORTGAGE,0.0,EDUCATION,B,9000,12.69,0,0.1,N,3
277,23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,Y,3
24966,32,79000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,7800,,0,0.1,N,8
25071,34,30412,RENT,4.0,MEDICAL,B,12000,10.38,1,0.39,N,5
10476,23,68000,MORTGAGE,2.0,VENTURE,B,10000,10.37,0,0.15,N,2
30316,43,33500,RENT,4.0,PERSONAL,C,6225,14.79,0,0.19,N,17
4462,23,48000,RENT,6.0,VENTURE,A,4800,7.9,0,0.1,N,3
9559,24,85000,RENT,6.0,HOMEIMPROVEMENT,A,8100,,0,0.1,N,2
18209,27,160000,MORTGAGE,12.0,DEBTCONSOLIDATION,C,7000,12.23,0,0.04,Y,6
10204,23,50000,RENT,2.0,EDUCATION,C,9600,14.26,0,0.19,N,3
2149,24,54000,RENT,5.0,PERSONAL,A,2400,8.0,0,0.04,N,3
28804,32,75000,MORTGAGE,2.0,VENTURE,D,2000,15.65,0,0.03,Y,10
4731,26,30000,RENT,2.0,EDUCATION,B,5000,12.42,1,0.17,N,2
3563,22,39600,RENT,4.0,DEBTCONSOLIDATION,D,3600,17.49,1,0.09,Y,3
13003,24,87000,MORTGAGE,6.0,PERSONAL,B,6000,10.65,0,0.07,N,4
17197,23,78000,MORTGAGE,7.0,VENTURE,A,4600,7.66,0,0.06,N,3
17185,22,38000,RENT,2.0,EDUCATION,A,18500,7.66,1,0.49,N,2
18365,31,20400,OWN,0.0,MEDICAL,C,11000,11.03,0,0.54,Y,10
7506,25,70000,RENT,5.0,HOMEIMPROVEMENT,A,6800,5.42,0,0.1,N,2
18863,29,38004,RENT,3.0,MEDICAL,C,1500,14.35,0,0.04,Y,10
14435,21,31680,RENT,5.0,MEDICAL,C,15000,12.61,1,0.47,Y,4
27082,29,24996,OWN,2.0,VENTURE,B,8000,9.99,0,0.32,N,7
5198,25,87000,RENT,7.0,MEDICAL,C,9000,13.49,0,0.1,N,4
5770,23,60000,RENT,4.0,MEDICAL,A,5400,7.49,0,0.09,N,3
12348,25,38599,RENT,3.0,MEDICAL,B,12000,10.38,1,0.31,N,4
21464,32,48000,OWN,4.0,EDUCATION,A,8000,5.79,0,0.17,N,7
5284,24,50004,RENT,5.0,PERSONAL,A,5000,7.14,0,0.1,N,3
18143,28,159000,RENT,5.0,PERSONAL,D,6000,15.95,1,0.04,N,10
3936,26,39600,RENT,3.0,EDUCATION,A,4000,5.79,1,0.1,N,4
8553,21,50700,RENT,5.0,VENTURE,B,7950,10.99,0,0.16,N,3
1572,22,27996,OWN,5.0,MEDICAL,A,5000,5.79,0,0.18,N,2
24985,28,25200,RENT,5.0,PERSONAL,D,11500,14.46,1,0.46,Y,6
19325,31,95000,RENT,2.0,MEDICAL,C,2500,13.72,0,0.03,N,5
14298,26,78200,MORTGAGE,3.0,MEDICAL,C,15000,14.27,1,0.16,Y,4
22281,32,80000,RENT,1.0,MEDICAL,B,6400,10.99,0,0.08,N,10
6649,24,54000,RENT,2.0,EDUCATION,A,6000,7.14,0,0.11,N,3
16894,26,14400,RENT,1.0,DEBTCONSOLIDATION,D,2000,17.49,1,0.14,Y,3
4243,26,44004,RENT,2.0,MEDICAL,A,4500,7.74,0,0.1,N,3
32221,41,92000,MORTGAGE,15.0,EDUCATION,A,12000,7.66,0,0.13,N,13
27798,32,572400,RENT,16.0,MEDICAL,B,16000,9.76,0,0.03,N,5
17249,21,18000,RENT,3.0,DEBTCONSOLIDATION,C,1500,12.87,0,0.08,Y,4
10504,22,31000,RENT,3.0,VENTURE,E,10000,19.42,1,0.32,Y,2
12369,22,74000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,11200,,1,0.15,Y,2
22408,27,44400,RENT,7.0,VENTURE,B,7000,10.0,0,0.16,N,6
30648,38,60000,MORTGAGE,9.0,EDUCATION,E,16000,16.35,0,0.27,N,17
5107,24,56000,RENT,6.0,PERSONAL,A,9000,7.29,0,0.16,N,2
16651,23,120000,MORTGAGE,5.0,VENTURE,B,6000,9.99,0,0.05,N,3
25242,29,82000,OWN,5.0,PERSONAL,C,21000,14.65,0,0.26,Y,5
22333,29,54099,MORTGAGE,2.0,DEBTCONSOLIDATION,B,21000,9.96,0,0.39,N,6
19168,34,50000,RENT,0.0,VENTURE,A,2400,,0,0.05,N,9
8293,26,57000,MORTGAGE,4.0,EDUCATION,C,12000,13.49,0,0.21,Y,2
30031,45,45000,MORTGAGE,20.0,PERSONAL,A,15625,8.9,0,0.35,N,13
15678,25,153000,MORTGAGE,9.0,EDUCATION,B,7500,11.71,0,0.05,N,3
18464,28,22404,MORTGAGE,3.0,VENTURE,C,5725,14.79,1,0.26,N,9
27759,30,110000,RENT,9.0,HOMEIMPROVEMENT,C,16000,,0,0.15,Y,6
14829,24,115800,MORTGAGE,5.0,PERSONAL,B,12000,10.99,0,0.1,N,3
9699,22,63500,MORTGAGE,5.0,EDUCATION,B,7200,,0,0.11,N,3
17921,29,260000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,20000,10.37,0,0.08,N,9
3882,21,39000,MORTGAGE,5.0,EDUCATION,A,1000,7.49,0,0.03,N,3
20462,31,25000,RENT,0.0,MEDICAL,C,4800,11.54,0,0.19,Y,10
32337,52,15000,RENT,3.0,PERSONAL,B,1200,,1,0.08,N,20
26667,30,98000,MORTGAGE,14.0,EDUCATION,B,9000,11.49,1,0.09,N,5
11252,22,53500,RENT,2.0,EDUCATION,B,10000,9.99,0,0.19,N,3
13533,26,93000,MORTGAGE,8.0,MEDICAL,A,17500,7.51,0,0.19,N,4
23985,27,68004,MORTGAGE,2.0,PERSONAL,B,6000,11.86,0,0.09,N,6
13978,26,99900,MORTGAGE,10.0,PERSONAL,A,2700,,0,0.03,N,3
6925,23,50205,MORTGAGE,7.0,DEBTCONSOLIDATION,A,5300,5.42,0,0.11,N,4
14757,24,114000,MORTGAGE,8.0,VENTURE,B,4000,,0,0.04,N,2
404,24,48000,RENT,4.0,VENTURE,D,24000,16.29,1,0.5,Y,2
9164,22,60000,MORTGAGE,6.0,EDUCATION,D,5000,14.61,0,0.08,Y,3
1608,21,41004,RENT,5.0,EDUCATION,B,1500,,0,0.04,N,3
1458,22,27600,RENT,5.0,VENTURE,C,1200,13.06,0,0.04,N,2
6107,24,16800,RENT,2.0,DEBTCONSOLIDATION,D,6000,14.84,1,0.36,Y,4
616,24,50866,RENT,6.0,MEDICAL,B,20000,,1,0.39,N,3
26397,28,46400,RENT,6.0,DEBTCONSOLIDATION,C,14125,,0,0.3,N,5
23635,27,65000,MORTGAGE,,VENTURE,A,6025,6.03,0,0.09,N,10
10631,23,69600,MORTGAGE,7.0,DEBTCONSOLIDATION,A,1200,6.99,0,0.02,N,3
12234,24,32000,RENT,8.0,DEBTCONSOLIDATION,C,12000,12.87,1,0.38,Y,2
784,25,85000,RENT,4.0,HOMEIMPROVEMENT,B,20000,,0,0.24,N,2
7898,23,55000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3850,5.42,0,0.07,N,2
27930,29,45600,MORTGAGE,9.0,MEDICAL,A,2000,7.88,0,0.04,N,8
11999,24,61000,RENT,8.0,PERSONAL,B,11200,9.99,0,0.18,N,3
13303,22,35000,RENT,5.0,VENTURE,B,2800,10.37,0,0.08,N,4
2644,24,45000,RENT,4.0,VENTURE,A,3000,9.32,0,0.07,N,2
2636,25,45000,RENT,4.0,MEDICAL,A,3000,7.9,0,0.07,N,4
932,24,73000,RENT,0.0,HOMEIMPROVEMENT,A,18500,7.9,1,0.25,N,2
5357,24,44000,RENT,0.0,MEDICAL,A,8500,7.51,0,0.19,N,4
10495,25,30720,RENT,6.0,EDUCATION,B,10000,10.37,1,0.33,N,2
12563,21,83000,MORTGAGE,3.0,VENTURE,A,14000,8.49,0,0.17,N,2
21350,30,73000,RENT,15.0,DEBTCONSOLIDATION,B,5500,9.99,0,0.08,N,9
17888,34,61200,RENT,18.0,MEDICAL,B,30000,11.71,1,0.49,N,8
23726,32,65000,MORTGAGE,12.0,VENTURE,A,12000,7.88,0,0.18,N,5
9957,23,53664,RENT,1.0,DEBTCONSOLIDATION,B,9000,12.21,0,0.17,N,4
9713,22,63800,MORTGAGE,7.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.39,N,4
2859,23,57000,RENT,6.0,HOMEIMPROVEMENT,D,3000,14.59,1,0.05,N,2
10118,25,61000,RENT,4.0,VENTURE,A,9500,7.51,0,0.16,N,2
29107,27,129700,MORTGAGE,1.0,PERSONAL,A,10000,6.54,0,0.08,N,7
20416,31,17000,RENT,3.0,VENTURE,B,4575,11.48,1,0.27,N,7
26552,27,105000,MORTGAGE,5.0,EDUCATION,B,20000,11.48,0,0.19,N,6
156,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4
17948,32,193800,RENT,0.0,MEDICAL,B,20000,11.83,1,0.09,N,6
6491,23,50000,OWN,4.0,PERSONAL,B,12600,11.71,0,0.25,N,4
3589,24,37500,MORTGAGE,2.0,DEBTCONSOLIDATION,A,5600,8.94,0,0.15,N,4
12313,22,37392,RENT,1.0,EDUCATION,B,12000,10.62,1,0.32,N,2
30110,41,23400,RENT,2.0,VENTURE,B,5375,,0,0.23,N,16
17116,24,39000,RENT,4.0,HOMEIMPROVEMENT,C,8000,,1,0.21,N,2
18516,30,36432,RENT,1.0,EDUCATION,D,19000,15.21,1,0.52,Y,5
18626,28,44900,RENT,12.0,MEDICAL,C,17500,14.35,1,0.39,Y,10
13393,24,98450,RENT,8.0,EDUCATION,C,2700,13.49,0,0.03,N,4
6437,25,40000,RENT,5.0,PERSONAL,A,6000,7.88,0,0.15,N,4
17711,22,48000,RENT,1.0,EDUCATION,B,7200,9.62,0,0.15,N,3
30248,43,50000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,5000,9.63,0,0.1,N,16
20242,28,50000,RENT,1.0,HOMEIMPROVEMENT,B,4000,10.59,0,0.08,N,10
13100,26,88000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,3800,6.54,0,0.04,N,2
15735,24,160000,MORTGAGE,8.0,HOMEIMPROVEMENT,E,20000,19.69,0,0.13,Y,2
3098,23,35352,MORTGAGE,,EDUCATION,A,6500,5.42,0,0.18,N,2
3799,22,30000,RENT,0.0,VENTURE,D,4000,15.21,1,0.13,N,2
21386,28,48000,MORTGAGE,,DEBTCONSOLIDATION,C,5000,14.65,0,0.1,Y,7
23768,32,96000,RENT,8.0,HOMEIMPROVEMENT,A,9500,,0,0.1,N,5
228,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4
8688,24,60000,MORTGAGE,7.0,MEDICAL,A,20000,7.9,0,0.33,N,4
26431,29,30000,OWN,0.0,VENTURE,A,4000,7.49,0,0.13,N,5
14394,26,105000,MORTGAGE,0.0,MEDICAL,A,5000,7.68,0,0.05,N,2
17047,23,46776,OWN,7.0,VENTURE,D,15000,13.24,0,0.32,N,3
2192,26,71000,RENT,5.0,MEDICAL,B,13500,12.69,0,0.19,N,3
20679,28,32000,RENT,5.0,MEDICAL,A,5000,6.99,0,0.16,N,7
25766,27,37440,RENT,7.0,PERSONAL,B,2800,,0,0.07,N,9
12378,24,80004,OWN,8.0,HOMEIMPROVEMENT,B,25000,10.36,0,0.31,N,3
17400,25,63000,MORTGAGE,3.0,PERSONAL,C,3000,13.47,0,0.05,Y,2
19504,29,52000,RENT,2.0,EDUCATION,A,12000,7.9,0,0.23,N,7
15180,26,125000,OWN,10.0,MEDICAL,A,6000,5.42,0,0.05,N,4
14348,23,105000,MORTGAGE,4.0,VENTURE,B,19000,11.99,0,0.18,N,3
27765,29,108000,RENT,11.0,EDUCATION,B,16000,,1,0.15,N,7
16392,23,60000,MORTGAGE,6.0,PERSONAL,A,7000,6.54,0,0.12,N,2
18028,30,200000,MORTGAGE,5.0,PERSONAL,B,20000,11.48,0,0.1,N,7
1408,25,40800,RENT,,DEBTCONSOLIDATION,D,1000,15.57,1,0.02,N,2
18779,28,44000,RENT,9.0,VENTURE,C,1000,14.17,1,0.02,N,9
8207,25,28128,RENT,2.0,EDUCATION,D,7500,15.33,1,0.27,Y,3
11046,25,71328,MORTGAGE,3.0,EDUCATION,D,25000,14.96,0,0.35,Y,3
11205,24,72000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,8200,7.88,0,0.11,N,4
455,25,135000,RENT,8.0,PERSONAL,B,24000,10.99,0,0.18,N,2
1956,23,100000,RENT,4.0,MEDICAL,B,2000,10.62,0,0.02,N,2
26893,31,117000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,3600,6.91,0,0.03,N,5
15857,25,188000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,25000,13.24,1,0.13,Y,4
22631,35,30000,RENT,1.0,EDUCATION,C,7500,,1,0.25,Y,6
7802,24,39996,RENT,1.0,MEDICAL,C,7000,13.11,0,0.18,N,3
2112,26,30000,OWN,0.0,PERSONAL,C,15000,13.22,0,0.5,N,2
19935,27,27900,RENT,3.0,MEDICAL,A,10625,7.9,1,0.38,N,5
23101,29,60000,MORTGAGE,0.0,EDUCATION,B,2400,10.75,0,0.04,N,9
25274,30,54000,RENT,1.0,EDUCATION,A,12000,6.62,1,0.22,N,6
1593,23,28000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,9500,15.62,1,0.34,N,2
31148,36,40000,RENT,2.0,EDUCATION,C,11250,14.27,0,0.28,N,12
31772,37,74784,RENT,8.0,HOMEIMPROVEMENT,E,15000,14.5,0,0.2,N,15
2065,24,12000,RENT,4.0,MEDICAL,A,2400,6.92,1,0.2,N,2
31152,43,79000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,4000,8.88,0,0.05,N,12
11408,25,60000,RENT,5.0,HOMEIMPROVEMENT,A,10000,7.14,0,0.17,N,4
30588,38,60000,MORTGAGE,22.0,VENTURE,B,2700,11.99,0,0.04,N,15
6788,25,23460,RENT,5.0,MEDICAL,B,7000,,0,0.3,N,2
25415,28,67000,RENT,3.0,HOMEIMPROVEMENT,B,12000,,0,0.18,N,5
29679,37,63000,RENT,1.0,DEBTCONSOLIDATION,C,3200,,0,0.05,N,11
10419,23,27000,RENT,6.0,MEDICAL,B,10000,10.65,1,0.37,N,3
5432,24,56000,RENT,8.0,PERSONAL,C,5000,14.27,0,0.09,N,4
26979,30,120000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,15000,10.99,0,0.13,N,6
11648,23,72000,RENT,4.0,MEDICAL,C,10000,13.85,0,0.14,Y,3
27104,34,122400,MORTGAGE,5.0,MEDICAL,B,6800,10.65,0,0.06,N,10
25712,34,187000,RENT,3.0,VENTURE,A,12000,7.9,0,0.06,N,10
4619,23,124000,RENT,2.0,PERSONAL,C,10000,14.27,0,0.08,N,3
6772,24,50000,OWN,,VENTURE,B,21000,10.62,0,0.42,N,4
20602,31,120600,RENT,5.0,VENTURE,C,10000,13.49,1,0.08,N,5
25562,27,86004,MORTGAGE,8.0,HOMEIMPROVEMENT,D,16000,14.42,0,0.19,N,6
21102,30,60000,RENT,8.0,MEDICAL,A,5000,,0,0.08,N,8
14377,23,105000,MORTGAGE,3.0,MEDICAL,B,20000,11.48,0,0.19,N,2
7948,26,52000,RENT,11.0,EDUCATION,A,7000,7.88,0,0.13,N,3
22008,30,62000,RENT,1.0,MEDICAL,C,7000,14.27,0,0.11,Y,5
4891,26,32352,RENT,0.0,VENTURE,D,5000,14.84,1,0.15,N,4
29777,40,13273,RENT,3.0,DEBTCONSOLIDATION,B,3850,9.99,1,0.29,N,12
23267,34,25480,RENT,6.0,MEDICAL,D,5000,12.8,1,0.2,N,5
28430,29,38004,RENT,2.0,EDUCATION,C,1500,12.53,1,0.04,N,8
29414,49,69000,RENT,0.0,HOMEIMPROVEMENT,D,16000,14.96,1,0.23,Y,12
14371,23,105000,MORTGAGE,7.0,VENTURE,B,12000,11.36,0,0.11,N,2
27737,30,180000,MORTGAGE,5.0,MEDICAL,A,14000,6.03,0,0.08,N,9
14470,23,34884,RENT,3.0,EDUCATION,A,2000,6.92,0,0.06,N,2
11391,22,74004,OWN,0.0,MEDICAL,A,3000,6.54,0,0.04,N,4
4015,26,39996,OWN,10.0,VENTURE,C,7000,13.57,0,0.18,Y,3
10114,25,57000,RENT,2.0,EDUCATION,A,9500,6.17,0,0.17,N,4
6737,23,50000,MORTGAGE,2.0,PERSONAL,B,4000,11.86,0,0.08,N,3
28828,29,118374,MORTGAGE,13.0,HOMEIMPROVEMENT,C,3500,13.49,0,0.03,N,5
56,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3
24069,30,69996,MORTGAGE,14.0,PERSONAL,B,11250,12.21,0,0.16,N,10
2006,22,34000,RENT,6.0,DEBTCONSOLIDATION,B,14000,10.62,1,0.41,N,4
27317,32,131000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,11200,10.25,0,0.09,N,5
8809,23,60000,OWN,8.0,EDUCATION,A,20000,7.49,0,0.33,N,3
120,22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3
3972,22,39875,MORTGAGE,5.0,VENTURE,B,10000,,0,0.25,N,3
936,26,145000,RENT,3.0,EDUCATION,C,18500,12.87,0,0.13,Y,3
15844,25,199000,MORTGAGE,4.0,PERSONAL,B,15000,9.99,0,0.08,N,2
24352,30,72000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,4800,13.49,0,0.07,Y,7
24187,32,70000,OWN,1.0,MEDICAL,A,14400,7.88,0,0.21,N,10
26758,29,38000,RENT,13.0,DEBTCONSOLIDATION,A,15000,6.91,1,0.39,N,8
9500,25,56004,MORTGAGE,5.0,DEBTCONSOLIDATION,B,8000,11.71,1,0.14,N,3
13258,22,44000,RENT,0.0,MEDICAL,D,12250,15.99,1,0.28,Y,2
14947,22,120000,MORTGAGE,3.0,MEDICAL,C,5000,14.79,0,0.04,N,2
28366,29,37500,RENT,7.0,PERSONAL,B,3300,10.37,0,0.09,N,5
2536,22,33000,OWN,6.0,PERSONAL,B,12000,9.91,0,0.36,N,2
9140,22,74000,RENT,4.0,PERSONAL,A,5050,5.42,0,0.07,N,3
29500,36,29500,OWN,4.0,VENTURE,B,1250,11.83,0,0.04,N,15
17964,29,225000,OWN,11.0,PERSONAL,B,24250,,0,0.11,N,7
12364,24,80000,MORTGAGE,8.0,EDUCATION,A,7500,8.63,0,0.09,N,4
4150,23,40000,MORTGAGE,7.0,VENTURE,B,13000,9.99,0,0.33,N,3
6915,26,50004,OWN,2.0,HOMEIMPROVEMENT,D,11000,13.87,0,0.22,Y,4
9189,25,60000,MORTGAGE,2.0,PERSONAL,B,1800,12.21,0,0.03,N,2
28388,28,50400,RENT,8.0,EDUCATION,D,18500,16.02,1,0.37,N,5
4170,23,40000,MORTGAGE,2.0,MEDICAL,B,2000,10.99,0,0.05,N,4
28467,35,60000,RENT,0.0,HOMEIMPROVEMENT,C,4000,13.98,0,0.07,Y,7
30961,36,12000,RENT,,MEDICAL,B,4000,10.62,1,0.33,N,11
8132,24,56000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,12000,,0,0.21,N,3
1987,23,87000,RENT,4.0,EDUCATION,C,2100,,0,0.02,N,2
23415,33,56400,MORTGAGE,3.0,EDUCATION,B,8500,12.42,1,0.15,N,6
23351,27,62000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,5.42,0,0.08,N,5
8960,24,60000,MORTGAGE,2.0,MEDICAL,B,9700,8.88,0,0.16,N,3
16848,21,31200,RENT,1.0,EDUCATION,D,6000,16.89,1,0.19,Y,4
12903,24,69000,RENT,2.0,DEBTCONSOLIDATION,B,12000,10.2,1,0.17,N,4
11106,23,56100,MORTGAGE,3.0,MEDICAL,B,5650,10.99,1,0.09,N,3
1969,22,30000,OWN,,EDUCATION,A,12000,7.66,0,0.4,N,2
17330,23,39996,RENT,6.0,MEDICAL,B,12000,9.63,0,0.3,N,3
7908,22,41500,RENT,3.0,VENTURE,D,7000,15.7,1,0.17,Y,3
31549,38,105000,MORTGAGE,22.0,VENTURE,A,12350,6.62,0,0.12,N,11
25286,34,60000,RENT,3.0,VENTURE,A,12000,6.92,0,0.2,N,9
14425,22,30000,RENT,1.0,DEBTCONSOLIDATION,C,15000,15.27,1,0.5,Y,2
5778,22,22718,RENT,3.0,EDUCATION,B,5425,11.99,0,0.24,N,2
7680,23,26400,RENT,0.0,MEDICAL,A,7000,7.4,0,0.27,N,2
27211,30,114000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,15000,6.54,1,0.13,N,6
29798,36,38400,OWN,5.0,PERSONAL,A,10000,6.17,0,0.26,N,13
861,22,160000,RENT,6.0,PERSONAL,A,20000,7.49,0,0.13,N,4
4066,25,40000,MORTGAGE,7.0,EDUCATION,A,2100,6.03,0,0.05,N,2
26844,29,115000,MORTGAGE,3.0,MEDICAL,C,22000,15.23,0,0.19,Y,7
14816,26,115000,MORTGAGE,3.0,EDUCATION,C,20000,13.16,0,0.17,Y,2
19896,27,85500,RENT,1.0,EDUCATION,D,11000,15.99,1,0.13,N,6
29239,47,165000,MORTGAGE,2.0,HOMEIMPROVEMENT,D,19800,15.65,0,0.12,N,16
7126,25,51684,MORTGAGE,9.0,PERSONAL,D,4000,15.99,0,0.08,N,4
10710,25,70000,MORTGAGE,9.0,PERSONAL,B,1000,12.69,0,0.01,N,2
27646,27,156000,MORTGAGE,8.0,EDUCATION,D,15000,14.61,0,0.1,N,6
11024,22,55250,MORTGAGE,2.0,MEDICAL,D,7400,14.84,1,0.11,N,2
14623,25,110000,MORTGAGE,9.0,PERSONAL,A,20000,7.88,0,0.18,N,2
9732,23,60626,RENT,4.0,EDUCATION,A,8625,7.9,0,0.14,N,4
31267,49,84240,MORTGAGE,4.0,MEDICAL,B,14000,11.89,0,0.17,N,17
7203,26,85000,RENT,10.0,EDUCATION,B,7000,12.42,0,0.08,N,4
10796,25,70000,MORTGAGE,9.0,VENTURE,B,20000,10.59,0,0.29,N,2
16270,24,39000,RENT,2.0,DEBTCONSOLIDATION,E,16000,19.91,1,0.41,N,3
14439,25,106870,OWN,9.0,EDUCATION,C,6000,15.27,0,0.06,Y,4
30356,37,30000,RENT,6.0,MEDICAL,B,6500,10.37,0,0.22,N,11
32433,51,28000,RENT,3.0,VENTURE,B,8000,11.86,0,0.29,N,26
15310,23,60000,RENT,4.0,VENTURE,B,15000,11.83,0,0.25,N,3
19216,29,28000,RENT,9.0,MEDICAL,A,13200,6.17,1,0.47,N,10
28252,30,53000,RENT,4.0,DEBTCONSOLIDATION,A,12000,6.03,0,0.23,N,5
31311,36,84695,RENT,2.0,MEDICAL,A,12000,7.29,0,0.14,N,14
1240,24,44000,RENT,8.0,MEDICAL,A,16000,7.49,1,0.36,N,2
16668,22,54000,RENT,2.0,MEDICAL,D,7000,14.96,1,0.13,Y,2
11126,24,72000,MORTGAGE,7.0,PERSONAL,A,3000,,0,0.04,N,2
5545,24,45000,MORTGAGE,2.0,EDUCATION,B,9200,11.89,0,0.2,N,3
29541,37,14000,RENT,0.0,DEBTCONSOLIDATION,B,2400,,1,0.17,N,11
2891,26,35000,MORTGAGE,3.0,PERSONAL,B,7200,10.59,0,0.21,N,3
